매장이름,lat,lng,주소,구
강남YMCA점,37.5099018,127.0357061,서울 강남구 논현동,강남구
강남구청역아이티웨딩점,37.51654171724045,127.0401601992311,"서울 강남구 학동로 338 (논현동, 강남파라곤)",강남구
강남논현학동점,37.51408005446769,127.02810578707653,서울 강남구 논현로131길 28 (논현동),강남구
강남대치점,37.50133876179308,127.05242928262568,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",강남구
강남도산점,37.522336,127.031173,서울 강남구 도산대로37길 20 (신사동),강남구
강남율현점,37.4735487656314,127.107863694133,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",강남구
강남자곡점,37.473606114795814,127.1031720971561,"서울 강남구 자곡로 180 (자곡동, 강남유탑유블레스)",강남구
개포동역점,37.488604436046536,127.06742226515867,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)",강남구
건설회관점,37.5173236,127.034148,서울 강남구 언주로 711 (논현동),강남구
대청역점,37.49418891219431,127.07764131137398,"서울 강남구 개포로109길 34 (개포동, 대청프라자)",강남구
도곡2동점,37.482353824702095,127.04304591726503,"서울 강남구 논현로 142 (도곡동, 동현빌딩)",강남구
도산사거리점,37.5206233,127.0361133,서울 강남구 논현동 ,강남구
삼성대치점,37.50043704079942,127.06310437319587,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)",강남구
삼성동점,37.5068213,127.0594077,서울 강남구 테헤란로88길 10 (대치동),강남구
삼성중앙역점,37.5138886492475,127.053299510545,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)",강남구
삼성한전점,37.5103766,127.0649904,서울 강남구 테헤란로107길 11 (삼성동),강남구
선릉사거리점,37.50585465375997,127.04806966822704,"서울 강남구 선릉로 519 (역삼동, 삼능빌딩)",강남구
선릉역점,37.503774633134,127.048192060882,"서울 강남구 테헤란로 332 (역삼동, HJ타워)",강남구
선정릉역점,37.5096625,127.0426409,서울 강남구 봉은사로 326 (역삼동),강남구
수서역점,37.487429952799744,127.10304411368496,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)",강남구
신사역점,37.517782772275645,127.02145819084598,서울 강남구 압구정로2길 62 (신사동),강남구
신사점,37.51665644330877,127.02186508143392,서울 강남구 도산대로 118 (논현동),강남구
압구정로데오역점,37.5275251,127.0388491,서울 강남구 선릉로161길 20 (신사동),강남구
역삼더블루점,37.4928313,127.0391191,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)",강남구
역삼상록점,37.504405623324196,127.0439944465106,"서울 강남구 테헤란로43길 18 (역삼동, SC빌딩)",강남구
역삼역점,37.50178663316214,127.03523956508853,서울 강남구 테헤란로25길 17 (역삼동),강남구
역삼월드점,37.49844836915844,127.04811298239548,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)",강남구
역삼점,37.49579,127.0405164,서울 강남구 논현로72길 13 (역삼동),강남구
역삼중앙점,37.5003154494517,127.04292899982501,서울 강남구 언주로81길 8 (역삼동),강남구
역삼충현점,37.5000776,127.0385419,서울 강남구 논현로98길 7 (역삼동),강남구
역삼플래티넘점,37.49520150000001,127.0305934,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)",강남구
을지병원사거리점,37.5187933,127.0287749,서울 강남구 도산대로30길 7 (논현동),강남구
이디야커피랩,37.51047297481296,127.032981540064,"서울 강남구 논현로 636 (논현동, 이디야빌딩)",강남구
일원동점,37.49040201406986,127.08160067456868,서울 강남구 양재대로27길 20 (일원동),강남구
청담사거리점,37.524855870334314,127.05035288418118,서울 강남구 도산대로 521 (청담동),강남구
청담역점,37.5200643058897,127.049146860404,"서울 강남구 삼성로 721 (청담동, 룩희 819)",강남구
포이사거리점,37.4784579,127.0465991,서울 강남구 개포로 218 (개포동),강남구
학동역점,37.51499417378034,127.03312378880226,"서울 강남구 학동로 219 (논현동, 국제빌딩)",강남구
학동제마점,37.5131174134101,127.033652198273,서울 강남구 학동로34길 22 (논현동),강남구
한티역점,37.4979490135961,127.056118735013,서울 강남구 도곡로69길 8 (대치동),강남구
가오리역점,37.6406008108564,127.016163948133,서울 강북구 삼각산로 108 (수유동),강북구
광산사거리점,37.6438950125317,127.022605961559,"서울 강북구 노해로 91 (수유동, 진흥빌딩)",강북구
미아꿈의숲해링턴점,37.6169375235603,127.034460650104,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",강북구
미아삼거리역점,37.6139008845134,127.031024695473,서울 강북구 도봉로10길 28 (미아동),강북구
미아삼거리점,37.6135140698037,127.02970277545434,"서울 강북구 도봉로 45 (미아동, 숭인시장)",강북구
미아송천점,37.6143905,127.0224052,서울 강북구 삼양로 118 (미아동),강북구
미아역점,37.6270583442503,127.02547799375,서울 강북구 도봉로 207 -3(미아동),강북구
미아중앙점,37.6204702944714,127.028752360124,서울 강북구 도봉로 128 (미아동),강북구
번동점,37.6288359683906,127.03987378053,"서울 강북구 오현로 194 (번동, 덕수빌딩)",강북구
북한산점,37.6447601874917,127.005613427587,서울 강북구 4.19로 85 (수유동),강북구
삼각산점,37.6199160790664,127.016024676372,서울 강북구 솔샘로40길 3 (미아동),강북구
수유사거리점,37.6343884,127.0229077,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",강북구
수유역점,37.6393061,127.0266927,서울 강북구 도봉로 355 (수유동),강북구
우이역도선사점,37.6626046,127.0113765,서울 강북구 삼양로173길 21 (우이동),강북구
한신대점,37.6342771,127.0169716,서울 강북구 덕릉로 31 (수유동),강북구
가양역점,37.5605056,126.8555372,서울 강서구 양천로 500 (등촌동),강서구
강서nc점,37.5592805,126.8393255,서울 강서구 강서로54길 11 (등촌동),강서구
강서교차로점,37.5549542664078,126.855918740576,"서울 강서구 공항대로 437 (등촌동, 주신기업(주))",강서구
강서구청점,37.5612346,126.8228132,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)",강서구
강서한강자이점,37.5650437,126.8488292,서울 강서구 양천로 401 (가양동),강서구
개화산점,37.5723030060453,126.806994113323,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",강서구
곰달래사거리점,37.52990370000001,126.8386126,서울 강서구 곰달래로 52 (화곡동),강서구
공항시장역점,37.5641822785808,126.810682079138,"서울 강서구 방화동로 37 (방화동, 메디스타워)",강서구
까치산로점,37.5475815,126.8487431,서울 강서구 까치산로 182 (화곡동),강서구
까치산역점,37.5317675,126.8467055,서울 강서구 강서로17길 6 (화곡동),강서구
내발산점,37.55273424482655,126.83670247916808,"서울 강서구 강서로 304 (내발산동, 영종빌딩)",강서구
등촌역점,37.549111,126.8632654,서울 강서구 등촌로 217 (등촌동),강서구
등촌중앙점,37.53608583794484,126.86312283631494,"서울 강서구 등촌로 67 (등촌동, 컴스웨이빌딩)",강서구
렘넌트문화센터점,37.55786209369936,126.84945198496683,"서울 강서구 화곡로63길 65 (등촌동, 예원교회)",강서구
마곡나루역점,37.567290908492,126.826956189701,"서울 강서구 마곡중앙5로 6 (마곡동, 마곡나루역보타닉푸르지오시티)",강서구
마곡수명산점,37.552676073225,126.826675489517,"서울 강서구 수명로 68-27 (내발산동, 웨스트엔드문화센터)",강서구
마곡역점,37.5598879504334,126.829169795133,"서울 강서구 공항대로 195 (마곡동, 힐스테이트에코동익)",강서구
마곡퀸즈파크9점,37.5593135416408,126.83523920295,"서울 강서구 공항대로 247 (마곡동, 퀸즈파크나인)",강서구
마곡파인스퀘어점,37.5582813792344,126.829290828058,"서울 강서구 마곡중앙4로 22 (마곡동, 파인스퀘어)",강서구
마곡헤리움점,37.5692420716795,126.826138036672,"서울 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차)",강서구
방화동로점,37.5690161610357,126.812631152778,서울 강서구 방화동로 95 (방화동),강서구
방화사거리점,37.5732116324409,126.811777075121,"서울 강서구 양천로 72 (방화동, 해성빌딩)",강서구
서울공진초교점,37.55868486461754,126.82384490815572,"서울 강서구 마곡중앙1로 26 (마곡동, 마곡엠리체)",강서구
송정역점,37.5611712399241,126.809951413051,서울 강서구 공항대로 24 (공항동),강서구
신방화중앙점,37.5708583976379,126.821451112442,"서울 강서구 방화대로34길 92 (방화동, 불해빌딩)",강서구
염창동점,37.5527315,126.8707482,서울 강서구 양천로 689 (염창동),강서구
염창블루나인점,37.556904,126.8642901,서울 강서구 양천로 583 (염창동),강서구
우장산동점,37.547128,126.8436128,서울 강서구 우현로 15 (화곡동),강서구
화곡남부시장점,37.53387,126.8583432,서울 강서구 등촌로5길 80 (화곡동),강서구
화곡로점,37.54079309999999,126.8364778,서울 강서구 화곡로 133 (화곡동),강서구
화곡본동시장점,37.54223429652289,126.84424724638545,서울 강서구 까치산로4길 11 (화곡동),강서구
화곡사거리점,37.5316969,126.8634675,서울 강서구 곰달래로 135 (화곡동),강서구
화곡중앙시장점,37.5342817,126.8382961,서울 강서구 가로공원로76길 61 (화곡동),강서구
관악구청점,37.4795649,126.9528901,"서울 관악구 관악로 164 (봉천동, 대우디오슈페리움1단지)",관악구
관악우성점,37.4849644283346,126.95603357684,서울 관악구 관악로 232 (봉천동),관악구
관악하나로마트점,37.4801290693885,126.902896907397,"서울 관악구 남부순환로 1369 (신림동, 관악농협농산물백화점)",관악구
낙성대역점,37.477862,126.9621916,서울 관악구 남부순환로 1915 (봉천동),관악구
난곡사거리점,37.4809279906563,126.911256043771,서울 관악구 남부순환로 1444 (신림동),관악구
난향동점,37.4608681432511,126.919395468118,서울 관악구 난곡로 60 (신림동),관악구
남현홈플러스점,37.4713968,126.9826511,"서울 관악구 과천대로 909 (남현동, 남현프라자)",관악구
녹두거리점,37.47029879999999,126.9390781,서울 관악구 신림로 91 (신림동),관악구
보라매중앙점,37.4946139,126.9275795,"서울 관악구 보라매로 62 (봉천동, 보라매삼성아파트)",관악구
봉일시장점,37.4860487,126.9392578,서울 관악구 은천로 23 (봉천동),관악구
봉천중앙점,37.4789698,126.9577375,서울 관악구 남부순환로 1874 (봉천동),관악구
사당중앙점,37.475496,126.9812655,서울 관악구 과천대로 951 (남현동),관악구
서울대중앙점,37.48137982242393,126.9490007619789,서울 관악구 남부순환로216길 2 (봉천동),관악구
신대방역점,37.4869108,126.9138009,서울 관악구 난곡로 368 (신림동),관악구
신림난곡점,37.4725400701048,126.918942273894,서울 관악구 난곡로 197 (신림동),관악구
신림남부초교점,37.4834018259286,126.921883674693,서울 관악구 남부순환로 1541-1 (신림동),관악구
신림대학동점,37.4707098,126.9345955,서울 관악구 호암로26길 17 (신림동),관악구
신림미성점,37.4765402893322,126.915984298817,서울 관악구 난곡로 250 (신림동),관악구
