,주유소명,주소,브랜드,휘발유 가격,경유 가격,셀프 여부,세차장 여부,충전소 여부,경정비 여부,편의점 여부,24시간 운영 여부,구,위도,경도
0,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),SK에너지,1562,1439,Y,Y,N,N,N,N,강남구,37.4671565,127.1187081
1,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,1609,1474,Y,Y,N,N,N,N,강남구,37.4834002,127.1040458
2,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,1617,1499,Y,Y,N,N,N,N,강남구,37.4749926,127.1068866
3,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,1619,1524,Y,Y,N,Y,N,Y,강남구,37.485839,127.0396721
4,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,HD현대오일뱅크,1629,1464,Y,Y,N,N,N,N,강남구,37.4665675,127.1190803
5,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),S-OIL,1629,1534,Y,Y,N,Y,N,Y,강남구,37.5000776,127.0385419
6,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),HD현대오일뱅크,1629,1554,Y,Y,N,Y,N,N,강남구,37.4854623,127.0432181
7,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),HD현대오일뱅크,1644,1569,N,Y,N,Y,N,N,강남구,37.4874316,127.0399976
8,삼성동주유소,서울 강남구 테헤란로 619 (삼성동),HD현대오일뱅크,1649,1559,Y,Y,N,N,N,N,강남구,37.5098576,127.0651101
9,SK서광주유소,서울 강남구 역삼로 142,SK에너지,1665,1565,Y,Y,N,Y,N,Y,강남구,37.4943424,127.0350915
10,대교셀프주유소,서울 강남구 강남대로 640 (신사동),SK에너지,1690,1628,Y,N,N,N,N,Y,강남구,37.5281292,127.0355537
11,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SK에너지,1695,1557,Y,Y,N,N,N,N,강남구,37.4841053,127.0950401
12,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),S-OIL,1699,1595,N,Y,N,Y,N,N,강남구,37.4878254,127.0466876
13,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,1719,1689,Y,N,N,Y,N,Y,강남구,37.50270829999999,127.0363956
14,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,1727,1697,Y,Y,N,N,N,Y,강남구,37.5106887,127.0325689
15,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,1727,1697,Y,Y,N,N,N,Y,강남구,37.5253431,127.0338242
16,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,SK에너지,1729,1649,N,Y,N,N,N,N,강남구,37.492295,127.0418598
17,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,SK에너지,1749,1649,Y,Y,N,Y,N,N,강남구,37.4949341,127.0459062
18,에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,GS칼텍스,1798,1678,Y,Y,N,N,N,N,강남구,37.4722409,127.0515134
19,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,1865,1720,N,Y,N,Y,N,Y,강남구,37.5000721,127.0672848
20,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),HD현대오일뱅크,1928,1849,N,Y,N,N,N,N,강남구,37.5195205,127.0263171
21,지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),GS칼텍스,1933,1821,N,Y,N,N,N,N,강남구,37.4946762,127.0778305
22,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),GS칼텍스,1965,1823,Y,Y,N,N,N,Y,강남구,37.51397499999999,127.0561274
23,HD현대오일뱅크㈜직영 한양주유소,서울 강남구 압구정로 302 (신사동),HD현대오일뱅크,2028,1964,N,Y,N,N,N,N,강남구,37.5288681,127.0341046
24,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,GS칼텍스,2109,1987,N,Y,N,N,N,N,강남구,37.5014209,127.0591408
25,명품주유소,서울 강남구 도곡로 249 (역삼동),S-OIL,2128,2057,Y,Y,N,N,N,Y,강남구,37.4942704,127.0455093
26,대청주유소,서울 강남구 개포로 654 (일원동),SK에너지,2176,2109,N,Y,N,N,N,N,강남구,37.49247370000001,127.085679
27,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,HD현대오일뱅크,2188,1998,N,Y,N,N,N,Y,강남구,37.525835,127.0265422
28,갤러리아주유소,서울 강남구 압구정로 426,SK에너지,2257,2139,N,Y,N,N,N,N,강남구,37.5267844,127.043539
29,SK논현주유소,서울 강남구 논현로 747 (논현동),SK에너지,2283,2135,N,Y,N,Y,N,Y,강남구,37.5186368,127.028238
30,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,HD현대오일뱅크,2398,2197,N,Y,N,N,N,Y,강남구,37.5176472,127.0357349
31,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),GS칼텍스,2578,2540,N,Y,N,N,N,N,강남구,37.5115207,127.0471716
32,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),HD현대오일뱅크,1579,1429,Y,Y,N,N,N,N,강동구,37.5365133,127.1493588
33,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),GS칼텍스,1595,1475,Y,Y,N,N,Y,N,강동구,37.555049,127.1297929
34,대성석유(주)길동주유소,서울 강동구 천호대로 1168,GS칼텍스,1596,1498,N,Y,N,N,N,N,강동구,37.5334229,127.1411725
35,(주)소모 신월주유소,서울 강동구 양재대로 1323 (성내동),GS칼텍스,1616,1498,Y,Y,N,N,N,N,강동구,37.5304933,127.128992
36,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),S-OIL,1650,1520,Y,Y,N,N,N,N,강동구,37.5293808,127.1224408
37,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),GS칼텍스,1656,1509,Y,Y,N,N,N,N,강동구,37.5511028,127.1696401
38,방아다리주유소,서울 강동구 동남로 811 (명일동),SK에너지,1669,1519,Y,Y,N,N,N,N,강동구,37.5490445,127.1508229
39,(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),GS칼텍스,1670,1550,Y,Y,N,Y,N,N,강동구,37.5313782,127.1273286
40,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),SK에너지,1685,1549,Y,Y,N,Y,N,N,강동구,37.5545085,127.1724154
41,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),SK에너지,1695,1564,N,Y,N,Y,N,N,강동구,37.532314,127.1331781
42,천호현대주유소,서울 강동구 천중로 67 (천호동),HD현대오일뱅크,1799,1697,N,Y,N,Y,N,N,강동구,37.5451331,127.129473
43,광성주유소,서울 강동구 올림픽로 673 (천호동),S-OIL,1898,1798,N,Y,N,Y,N,Y,강동구,37.5416117,127.1241731
44,덕릉로주유소,서울 강북구 덕릉로 158 (번동),S-OIL,1559,1379,Y,Y,N,N,N,N,강북구,37.6349756,127.0313182
