,년도,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,연봉
0,2015,양현종,기아 타이거즈,8.14,32,1,1,31,15,6,0,1,184.1,52,50,756,150,27,2,18,78,0,7,157,0,6,75000
1,2015,린드블럼,롯데 자이언츠,6.48,32,2,1,32,13,11,0,0,210.0,86,83,861,196,32,3,28,52,0,12,180,0,12,120000
2,2015,해커,NC 다이노스,5.64,31,1,0,31,19,5,0,0,204.0,81,71,833,174,34,0,14,36,1,25,164,0,6,60000
3,2015,밴헤켄,키움 히어로즈,5.12,32,0,0,32,15,8,0,0,196.2,92,79,825,190,36,3,14,67,1,1,193,0,16,65000
4,2015,우규민,LG 트윈스,4.95,25,1,0,25,11,9,0,0,152.2,64,58,621,163,26,5,13,17,0,12,119,0,2,40000
5,2015,켈리,SK 와이번즈,4.4,30,1,0,29,11,10,0,0,181.0,87,83,775,188,28,1,16,54,1,5,139,2,9,75000
6,2015,유희관,두산 베어스,4.4,30,1,1,30,18,5,0,0,189.2,84,83,786,193,33,5,23,44,0,4,126,1,4,40000
7,2015,스튜어트,NC 다이노스,4.32,19,0,0,19,8,2,0,0,117.2,37,35,488,116,16,1,7,26,0,6,109,1,4,50000
8,2015,피가로,삼성 라이온즈,4.24,25,1,0,25,13,7,0,0,165.0,66,62,688,154,26,3,16,51,0,7,117,0,6,0
9,2015,소사,LG 트윈스,4.23,32,2,1,30,10,12,0,1,194.1,102,87,809,199,39,7,16,36,0,5,177,1,6,50000
10,2015,김광현,SK 와이번즈,3.96,30,1,1,29,14,6,0,1,176.2,86,73,754,173,33,0,19,66,2,3,160,0,10,85000
11,2015,윤성환,삼성 라이온즈,3.91,30,3,1,30,17,8,0,0,194.0,86,81,809,199,34,4,27,30,0,10,164,0,1,80000
12,2015,윤석민,기아 타이거즈,3.87,51,0,0,0,2,6,30,0,70.0,23,23,297,69,11,4,4,24,7,2,68,0,1,125000
13,2015,레일리,롯데 자이언츠,3.87,31,1,0,30,11,9,0,0,179.1,93,78,768,182,27,2,20,57,2,15,134,2,13,63000
14,2015,옥스프링,kt wiz,3.68,31,3,0,31,12,10,0,0,185.0,104,92,806,200,33,0,23,66,0,10,142,0,5,0
15,2015,조상우,키움 히어로즈,3.36,70,0,0,0,8,5,5,19,93.1,36,32,382,65,15,2,4,41,1,6,89,0,7,0
16,2015,정우람,SK 와이번즈,3.24,69,0,0,0,7,5,16,11,70.0,25,25,287,52,12,0,3,28,5,1,90,0,3,0
17,2015,이태양,NC 다이노스,3.11,29,0,0,25,10,5,0,0,137.1,59,56,591,141,27,2,19,40,1,19,113,1,0,0
18,2015,피어밴드,키움 히어로즈,3.1,30,0,0,30,13,11,0,0,177.1,101,92,774,202,34,7,23,61,1,12,137,3,7,45000
19,2015,장원준,두산 베어스,2.89,30,1,0,30,12,12,0,0,169.2,86,77,748,182,35,2,13,68,1,14,128,0,4,100000
20,2015,로저스,한화 이글스,2.84,10,4,3,10,6,2,0,0,75.2,26,25,296,62,8,2,2,20,0,4,60,1,1,170000
21,2015,박정진,한화 이글스,2.81,76,0,0,0,6,1,1,15,96.0,37,33,411,84,12,1,8,39,3,5,92,0,7,30000
22,2015,조무근,kt wiz,2.73,43,0,0,1,8,5,4,2,71.2,26,15,298,54,11,2,3,32,1,4,83,0,6,0
23,2015,임준혁,기아 타이거즈,2.49,27,0,0,21,9,6,0,2,118.2,58,54,514,125,23,1,11,43,1,8,73,0,3,0
24,2015,장시환,kt wiz,2.42,47,0,0,0,7,5,12,0,74.2,33,33,308,73,13,2,1,28,2,1,75,0,6,0
25,2015,안지만,삼성 라이온즈,2.38,66,0,0,0,4,3,0,37,78.1,29,29,323,76,18,2,8,26,2,2,96,0,2,75000
26,2015,류제국,LG 트윈스,2.37,24,0,0,23,4,9,0,0,130.0,72,69,572,134,20,3,16,55,1,14,88,0,16,0
27,2015,이재학,NC 다이노스,2.36,29,0,0,23,10,8,0,1,125.0,58,57,545,115,15,1,17,58,1,9,116,0,5,0
28,2015,루카스,LG 트윈스,2.34,33,0,0,30,10,11,0,1,171.2,103,94,785,175,21,1,11,108,4,14,151,1,11,0
29,2015,윤길현,SK 와이번즈,2.31,70,0,0,0,0,4,13,17,62.2,25,22,284,58,12,0,7,36,4,2,62,0,3,0
30,2015,이현승,두산 베어스,2.21,41,0,0,0,3,1,18,2,46.2,16,15,191,45,9,0,3,10,2,2,41,0,2,40000
31,2015,스틴슨,기아 타이거즈,2.19,32,0,0,30,11,10,0,0,167.0,100,92,756,190,30,6,15,64,0,14,93,0,4,0
32,2015,임창용,삼성 라이온즈,2.08,55,0,0,0,5,2,33,0,54.0,17,17,219,45,8,1,2,13,2,3,71,0,1,50000
